test,t,set_L,set_R,vel_L,vel_R
stop,0.0021,0.0,0.0,0.0,0.0
stop,0.0237,0.0,0.0,0.0,0.0
stop,0.0445,0.0,0.0,0.0,0.0
stop,0.065,0.0,0.0,0.0,0.0
stop,0.0865,0.0,0.0,0.0,0.0
stop,0.1072,0.0,0.0,0.0,0.0
stop,0.1278,0.0,0.0,0.0,0.0
stop,0.1495,0.0,0.0,0.0,0.0
stop,0.1705,0.0,0.0,0.0,0.0
stop,0.1912,0.0,0.0,0.0,0.0
stop,0.2129,0.0,0.0,0.0,0.0
stop,0.2339,0.0,0.0,0.0,0.0
stop,0.2549,0.0,0.0,0.0,0.0
stop,0.2769,0.0,0.0,0.0,0.0
stop,0.2979,0.0,0.0,0.0,0.0
stop,0.3185,0.0,0.0,0.0,0.0
stop,0.34,0.0,0.0,0.0,0.0
stop,0.3607,0.0,0.0,0.0,0.0
stop,0.3812,0.0,0.0,0.0,0.0
stop,0.4026,0.0,0.0,0.0,0.0
stop,0.4233,0.0,0.0,0.0,0.0
stop,0.4437,0.0,0.0,0.0,0.0
stop,0.4652,0.0,0.0,0.0,0.0
stop,0.4858,0.0,0.0,0.0,0.0
stop,0.5064,0.0,0.0,0.0,0.0
stop,0.5278,0.0,0.0,0.0,0.0
stop,0.5486,0.0,0.0,0.0,0.0
stop,0.5692,0.0,0.0,0.0,0.0
stop,0.5905,0.0,0.0,0.0,0.0
stop,0.6113,0.0,0.0,0.0,0.0
stop,0.6318,0.0,0.0,0.0,0.0
stop,0.6532,0.0,0.0,0.0,0.0
stop,0.674,0.0,0.0,0.0,0.0
stop,0.6945,0.0,0.0,0.0,0.0
stop,0.7159,0.0,0.0,0.0,0.0
stop,0.7366,0.0,0.0,0.0,0.0
stop,0.7571,0.0,0.0,0.0,0.0
stop,0.7784,0.0,0.0,0.0,0.0
stop,0.799,0.0,0.0,0.0,0.0
stop,0.8195,0.0,0.0,0.0,0.0
stop,0.8408,0.0,0.0,0.0,0.0
stop,0.8616,0.0,0.0,0.0,0.0
stop,0.8822,0.0,0.0,0.0,0.0
stop,0.9036,0.0,0.0,0.0,0.0
stop,0.9243,0.0,0.0,0.0,0.0
stop,0.9448,0.0,0.0,0.0,0.0
stop,0.9661,0.0,0.0,0.0,0.0
stop,0.9868,0.0,0.0,0.0,0.0
straight_slow,1.5084,-0.3,-0.3,0.0,0.0
straight_slow,1.53,-0.3,-0.3,0.0,0.0
straight_slow,1.5507,-0.3,-0.3,0.0,0.0
straight_slow,1.5713,-0.3,-0.3,0.0,0.0
straight_slow,1.5926,-0.3,-0.3,0.0,0.0
straight_slow,1.6133,-0.3,-0.3,0.0,0.0
straight_slow,1.6339,-0.3,-0.3,0.0,0.0
straight_slow,1.6554,-0.3,-0.3,0.0,0.0
straight_slow,1.676,-0.3,-0.3,0.0,0.0
straight_slow,1.6965,-0.3,-0.3,0.0,0.0
straight_slow,1.7178,-0.3,-0.3,0.0,0.0
straight_slow,1.7385,-0.3,-0.3,0.0,-0.3206
straight_slow,1.759,-0.3,-0.3,0.0,-0.3206
straight_slow,1.7803,-0.3,-0.3,-0.3502,-0.3206
straight_slow,1.801,-0.3,-0.3,-0.3502,0.0
straight_slow,1.8215,-0.3,-0.3,-0.3502,0.0
